Company,Location HQ,Industry,# Laid Off,%,Date,Source,Stage,Date Added,Country,$ Raised (mm),List of Employees Laid Off
CommerceHub,Albany,Retail,371,0.31,2023-02-14T00:00:00.000Z,https://www.bizjournals.com/albany/news/2023/02/14/commercehub-channeladvisor-tech-layoffs.html,Acquired,2023-02-15T00:49:11.000Z,United States,,
HackerEarth,SF Bay Area,HR,17,,2023-02-14T00:00:00.000Z,https://inc42.com/buzz/prime-venture-backed-hackerearth-trims-workforce-introduces-pay-cut-globally/,Series B,2023-02-14T15:16:59.000Z,United States,11,
PhableCare,"Bengaluru,Non-U.S.",Healthcare,,0.7000000000000001,2023-02-14T00:00:00.000Z,https://inc42.com/buzz/exclusive-hundreds-of-layoffs-delayed-salaries-is-kalaari-backed-phablecare-the-latest-startup-to-bite-the-dust/,Series B,2023-02-15T00:50:25.000Z,India,40,
Udemy,SF Bay Area,Education,,0.1,2023-02-14T00:00:00.000Z,https://about.udemy.com/udemy-news/a-message-from-gregg-coccari-ceo-of-udemy/,Post-IPO,2023-02-15T00:53:15.000Z,United States,311,
Twilio,SF Bay Area,Other,1500,0.17,2023-02-13T00:00:00.000Z,https://www.cnbc.com/2023/02/13/twilio-layoffs-1500-employees-17percent-of-workforce.html,Post-IPO,2023-02-13T16:24:17.000Z,United States,614,
Electric,New York City,Other,141,0.25,2023-02-13T00:00:00.000Z,https://www.electric.ai/blog/open-letter-feb-2023,Series D,2023-02-14T15:14:49.000Z,United States,212,
iRobot,Boston,Consumer,85,0.07,2023-02-13T00:00:00.000Z,https://www.cnbc.com/2023/02/13/irobot-layoffs-7percent-of-workforce-at-roomba-maker-let-go.html,Acquired,2023-02-14T15:06:56.000Z,United States,30,
Collective Health,SF Bay Area,Healthcare,54,,2023-02-13T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:7031422708764581888/,Series F,2023-02-15T02:06:32.000Z,United States,719,
Magic Eden,SF Bay Area,Crypto,22,,2023-02-13T00:00:00.000Z,https://decrypt.co/121253/layoffs-hit-solana-nft-marketplace-magic-eden-sheds-22-employees,Series B,2023-02-14T15:12:47.000Z,United States,170,
Casavo,"Milan,Non-U.S.",Real Estate,,0.3,2023-02-13T00:00:00.000Z,https://casavo.com/blog/a-difficult-decision-to-strengthen-casavos-foundations-for-the-future/,Unknown,2023-02-13T17:48:59.000Z,Italy,708,
Foodpanda,"Singapore,Non-U.S.",Food,,,2023-02-13T00:00:00.000Z,https://www.techinasia.com/foodpanda-layoff-feb23,Acquired,2023-02-14T15:08:37.000Z,Singapore,749,
Getir,"London,Non-U.S.",Food,,,2023-02-13T00:00:00.000Z,https://sifted.eu/articles/getir-layoff-uk-staff-gorillas-merger-news/,Series E,2023-02-14T00:42:47.000Z,United Kingdom,1800,
LinkedIn,SF Bay Area,HR,,,2023-02-13T00:00:00.000Z,https://www.theinformation.com/articles/microsofts-linkedin-lays-off-staff-amid-hiring-slowdown,Acquired,2023-02-13T20:53:00.000Z,United States,154,
Moladin,"Jakarta,Non-U.S.",Transportation,360,0.11,2023-02-12T00:00:00.000Z,https://aimgroup.com/2023/02/12/used-car-marketplace-moladin-lays-off-360/,Series B,2023-02-13T17:52:55.000Z,Indonesia,138,
TripleLift,New York City,Marketing,100,0.2,2023-02-10T00:00:00.000Z,https://www.adexchanger.com/online-advertising/triplelift-announces-layoffs-the-latest-in-a-miserable-trend/,Acquired,2023-02-13T17:51:12.000Z,United States,16,
TikTok India,"Mumbai,Non-U.S.",Consumer,40,,2023-02-10T00:00:00.000Z,https://www.livemint.com/technology/tech-news/tiktok-sacks-entire-india-staff-report-11676001745604.html,Acquired,2023-02-10T16:57:01.000Z,India,9400,
Rigetti Computing,SF Bay Area,Hardware,,0.28,2023-02-10T00:00:00.000Z,https://www.marketwatch.com/story/rigetti-computing-to-slash-28-of-jobs-59be433b,Post-IPO,2023-02-10T22:04:09.000Z,United States,298,
Yahoo,SF Bay Area,Consumer,1600,0.2,2023-02-09T00:00:00.000Z,https://www.axios.com/2023/02/09/yahoo-layoffs-2023-tech-media-companies,Acquired,2023-02-09T19:04:22.000Z,United States,6,
Deliveroo,"London,Non-U.S.",Food,350,0.09,2023-02-09T00:00:00.000Z,https://news.sky.com/story/deliveroo-to-cut-hundreds-of-jobs-globally-and-uk-to-be-worst-hit-12806890,Post-IPO,2023-02-09T16:21:49.000Z,United Kingdom,1700,
Olive AI,Columbus,Healthcare,215,0.35000000000000003,2023-02-09T00:00:00.000Z,https://www.axios.com/pro/health-tech-deals/2023/02/09/olive-ai-lays-off-third-company,Series H,2023-02-10T00:47:56.000Z,United States,856,
GitLab,SF Bay Area,Product,130,0.07,2023-02-09T00:00:00.000Z,https://www.cnbc.com/2023/02/09/gitlab-layoffs-company-to-cut-7percent-of-staff-or-about-130-employees.html,Post-IPO,2023-02-09T15:53:24.000Z,United States,413,
Bark,New York City,Retail,126,0.12,2023-02-09T00:00:00.000Z,https://investors.bark.co/news/news-details/2023/BARK-Reports-Third-Quarter-Fiscal-Year-2023-Results/default.aspx,Post-IPO,2023-02-10T02:01:41.000Z,United States,,https://docs.google.com/spreadsheets/d/19az7feguB2oPaVZmg91c4iYvOuwSbEEH-t1gSOUiMHM/edit#gid=304684298
Nomad Health,New York City,Healthcare,119,0.17,2023-02-09T00:00:00.000Z,https://www.forbes.com/sites/katiejennings/2023/02/09/staffing-marketplace-nomad-health-lays-off-20-of-workforce-employees-say/?sh=71b4037a1557,Unknown,2023-02-10T21:21:07.000Z,United States,218,https://docs.google.com/spreadsheets/d/1r5lHfTtqbVf5OYtrlqZNacxqvII-tM6N1luYYEL7wa0/edit#gid=0
Veriff,"Tallin,Non-U.S.",Security,66,0.12,2023-02-09T00:00:00.000Z,https://digipro.geenius.ee/rubriik/uudis/veriff-koondab-66-tootajat-kotkas-meie-kasvuplaan-oli-oluliselt-ambitsioonikam/,Series C,2023-02-09T16:24:08.000Z,Estonia,192,
REE Automotive,"Tel Aviv,Non-U.S.",Transportation,31,0.11,2023-02-09T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/s16tkompi,Post-IPO,2023-02-11T00:26:57.000Z,Israel,317,
GitHub,SF Bay Area,Product,,0.1,2023-02-09T00:00:00.000Z,https://fortune.com/2023/02/09/github-is-laying-off-10-of-staff-and-cutting-down-office-space/,Acquired,2023-02-09T18:13:33.000Z,United States,350,
Quillt,St. Louis,Media,,,2023-02-09T00:00:00.000Z,https://www.bizjournals.com/stlouis/inno/stories/news/2023/02/09/quillt-layoffs-digital-publishing.html,Unknown,2023-02-10T16:59:10.000Z,United States,,
WeTrade,"Bengaluru,Non-U.S.",Crypto,,1,2023-02-09T00:00:00.000Z,https://inc42.com/buzz/bengaluru-based-crypto-startup-wetrade-shuts-operations-amidst-hostile-ambience/,Unknown,2023-02-09T16:27:20.000Z,India,,
GoDaddy,Phoenix,Marketing,530,0.08,2023-02-08T00:00:00.000Z,https://techstartups.com/2023/02/08/godaddy-to-lay-off-8-of-its-workforce-or-about-530-employees-amid-global-economic-slowdown/,Post-IPO,2023-02-08T22:43:33.000Z,United States,800,
Affirm,SF Bay Area,Finance,500,0.19,2023-02-08T00:00:00.000Z,https://www.wsj.com/articles/affirm-cuts-500-employees-19-of-its-workforce-11675897002,Post-IPO,2023-02-08T21:27:27.000Z,United States,1500,https://docs.google.com/spreadsheets/d/1thtK4ppRXt_tnd_6cOqoEBAClOnOm5AgUgXnERzlQJM/edit#gid=0
Gusto,SF Bay Area,HR,126,0.05,2023-02-08T00:00:00.000Z,https://gusto.com/company-news/josh-reeves-message-to-all-gusto,Series E,2023-02-08T17:20:23.000Z,United States,746,https://docs.google.com/spreadsheets/d/17D1FSnCSoA3C2ocJgAFuDdpMsWlcpmWWL1aZ4PT3K20/htmlview
Gong,SF Bay Area,Sales,80,0.07,2023-02-08T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hjyj6811as,Series E,2023-02-08T19:31:00.000Z,United States,583,
Equitybee,SF Bay Area,Finance,24,0.25,2023-02-08T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/h1jkvzwpo,Series B,2023-02-09T00:44:58.000Z,United States,85,
Baraja,"Sydney,Non-U.S.",Transportation,,0.75,2023-02-08T00:00:00.000Z,https://www.news.com.au/finance/business/technology/australian-driverless-car-startup-baraja-worth-300m-sacks-75-per-cent-of-staff/news-story/c7c36ac5afded8f5171e8cc0ec5a71af,Unknown,2023-02-08T17:46:18.000Z,Australia,63,
Koho,"Toronto,Non-U.S.",Finance,,0.14,2023-02-08T00:00:00.000Z,https://betakit.com/koho-lays-off-14-percent-of-staff/,Series D,2023-02-08T17:50:03.000Z,Canada,278,
Medly,New York City,Healthcare,,1,2023-02-08T00:00:00.000Z,https://www.businessinsider.com/medly-is-shutting-down-after-pharmacy-startup-declared-bankruptcy-2023-2,Series C,2023-02-11T00:24:28.000Z,United States,100,
Nearmap,"Sydney,Non-U.S.",Construction,,0.2,2023-02-08T00:00:00.000Z,https://www.afr.com/technology/c-suite-coup-mass-layoffs-at-nearmap-as-us-owner-wields-axe-20230207-p5cil4,Acquired,2023-02-08T17:38:11.000Z,Australia,15,
Zoom,SF Bay Area,Other,1300,0.15,2023-02-07T00:00:00.000Z,https://www.cnbc.com/2023/02/07/zoom-to-lay-off-1300-employees-or-about-15percent-of-its-workforce.html,Post-IPO,2023-02-07T18:47:26.000Z,United States,276,https://coda.io/@alumni/zoom-alumni-list
eBay,SF Bay Area,Retail,500,0.04,2023-02-07T00:00:00.000Z,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,Post-IPO,2023-02-07T22:26:57.000Z,United States,1200,
SecureWorks,Atlanta,Security,212,0.09,2023-02-07T00:00:00.000Z,https://www.marketwatch.com/story/secureworks-to-cut-9-of-its-workforce-as-layoffs-could-affect-more-than-200-employees-01675779796,Post-IPO,2023-02-07T15:30:11.000Z,United States,83,
Salesloft,Atlanta,Sales,100,0.1,2023-02-07T00:00:00.000Z,https://www.bizjournals.com/atlanta/news/2023/02/07/salesloft-lays-off-workers.amp.html,Acquired,2023-02-08T17:24:10.000Z,United States,245,
Openpay,"Melbourne,Non-U.S.",Finance,83,1,2023-02-07T00:00:00.000Z,https://www.9news.com.au/finance/openpay-buy-now-pay-later-collapses-asx-listed-company/1fd1c0d8-4215-4e64-a9ed-9381e0d3f1a5,Post-IPO,2023-02-07T03:58:28.000Z,Australia,299,
LearnUpon,"Dublin,Non-U.S.",Education,27,0.09,2023-02-07T00:00:00.000Z,https://www.independent.ie/business/technology/learnupon-to-let-27-go-as-tech-layoffs-continue-42331418.html,Private Equity,2023-02-08T17:37:14.000Z,Ireland,56,
Sana Benefits,Austin,HR,,0.19,2023-02-07T00:00:00.000Z,https://www.sanabenefits.com/blog/a-letter-from-ceo-and-co-founder-will-young-to-sana-employees/,Series B,2023-02-08T17:42:28.000Z,United States,106,
Dell,Austin,Hardware,6650,0.05,2023-02-06T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-02-06/dell-dell-lays-off-about-6-650-employees-in-latest-tech-cuts#xj4y7vzkg,Post-IPO,2023-02-06T15:48:37.000Z,United States,,
Loggi,"Sao Paulo,Non-U.S.",Logistics,300,0.07,2023-02-06T00:00:00.000Z,https://www.infomoney.com.br/negocios/pela-segunda-vez-loggi-reduz-equipe-com-demissoes-em-massa/,Series F,2023-02-07T03:45:59.000Z,Brazil,507,
Catch.com.au,"Melbourne,Non-U.S.",Retail,100,,2023-02-06T00:00:00.000Z,https://www.channelnews.com.au/wesfarmers-axes-100-catch-employees/,Acquired,2023-02-14T15:11:50.000Z,Australia,80,
VinFast US,Los Angeles,Transportation,80,,2023-02-06T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-02-07/vinfast-cuts-about-80-jobs-in-north-america-including-us-cfo#xj4y7vzkg,Subsidiary,2023-02-08T17:53:01.000Z,United States,,
Drift,Boston,Marketing,59,,2023-02-06T00:00:00.000Z,https://www.bizjournals.com/boston/news/2023/02/06/drift-layoffs-2023-economic-conditions.html,Acquired,2023-02-07T03:56:03.000Z,United States,107,
Pocket Aces,"Mumbai,Non-U.S.",Media,50,0.25,2023-02-06T00:00:00.000Z,https://economictimes.indiatimes.com/tech/startups/pocket-aces-lays-off-over-20-of-its-workforce/articleshow/97626118.cms,Unknown,2023-02-06T19:12:45.000Z,India,19,
Clari,SF Bay Area,Sales,20,,2023-02-06T00:00:00.000Z,https://www.businessinsider.com/tech-layoffs-workato-clari-unicorn-startups-headcount-reduction-job-cuts-2023-2,Series F,2023-02-07T04:01:20.000Z,United States,496,
C6 Bank,"Sao Paulo,Non-U.S.",Finance,,,2023-02-06T00:00:00.000Z,https://www1.folha.uol.com.br/mercado/2023/02/c6-bank-demite-funcionarios-e-prepara-reestruturacao.shtml,Unknown,2023-02-08T21:47:09.000Z,Brazil,2300,
Daraz,"Singapore,Non-U.S.",Retail,,0.11,2023-02-06T00:00:00.000Z,https://propakistani.pk/2023/02/06/daraz-to-layoff-11-workforce-due-to-extremely-difficult-market-conditions/,Unknown,2023-02-06T19:08:37.000Z,Singapore,,
TenureX,"Tel Aviv,Non-U.S.",Finance,,,2023-02-06T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/b1bsh963o,Seed,2023-02-07T04:04:52.000Z,Israel,6,
Kyruus,Boston,Healthcare,70,,2023-02-05T00:00:00.000Z,https://www.fiercehealthcare.com/health-tech/workforce-tracker-thirty-madison-latest-digital-health-startup-cut-staff,Unknown,2023-02-07T03:49:23.000Z,United States,183,
Lightico,"Tel Aviv,Non-U.S.",Finance,20,0.25,2023-02-05T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/bydwq4phj,Series B,2023-02-07T04:08:09.000Z,Israel,42,
FarEye,"New Delhi,Non-U.S.",Logistics,90,,2023-02-03T00:00:00.000Z,https://inc42.com/buzz/exclusive-microsoft-backed-fareye-fires-90-employees-in-second-round-of-layoffs-within-8-months/,Series E,2023-02-03T15:58:51.000Z,India,150,
Protocol Labs,SF Bay Area,Crypto,89,0.2,2023-02-03T00:00:00.000Z,https://www.forbes.com/sites/michaeldelcastillo/2023/02/03/andreessen-horowitz-backed-protocol-labs-fires-21-of-staff-after-raising-record-257-million/?sh=24ba1897b400&utm_campaign=socialflowForbesMainLI&utm_source=ForbesMainLinkedIn&utm_medium=social,Unknown,2023-02-04T04:41:16.000Z,United States,10,
Finder,"Sydney,Non-U.S.",Retail,,0.15,2023-02-03T00:00:00.000Z,https://www.news.com.au/finance/work/at-work/finder-staff-shocked-by-abrupt-job-cuts-as-15-of-the-business-is-restructured/news-story/6907cf73ddddceb30018521871c89d3c,Unknown,2023-02-06T04:12:43.000Z,Australia,30,
Byju's,"Bengaluru,Non-U.S.",Education,1500,,2023-02-02T00:00:00.000Z,https://www.livemint.com/companies/start-ups/edtech-firm-byju-s-lays-off-nearly-1-500-employees-11675343777644.html,Private Equity,2023-02-02T15:50:31.000Z,India,5500,
Okta,SF Bay Area,Security,300,0.05,2023-02-02T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-02-02/okta-to-lay-off-300-employees-citing-overhiring-execution-challenges,Post-IPO,2023-02-02T15:48:09.000Z,United States,1200,
Autodesk,SF Bay Area,Other,250,0.02,2023-02-02T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-02-03/autodesk-layoffs-hit-250-jobs-joining-tech-industry-peers,Post-IPO,2023-02-03T15:59:40.000Z,United States,,
Mindstrong,SF Bay Area,Healthcare,127,,2023-02-02T00:00:00.000Z,https://www.bizjournals.com/sanjose/news/2023/02/02/mental-health-startup-closing-menlo-park-hq.html,Series C,2023-02-03T03:40:25.000Z,United States,160,
NCC Group,"Manchester,Non-U.S.",Security,125,0.07,2023-02-02T00:00:00.000Z,https://www.businesstimes.com.sg/companies-markets/british-cybersecurity-firm-ncc-group-cut-workforce-7,Post-IPO,2023-02-03T20:21:00.000Z,United Kingdom,,
Miro,SF Bay Area,Other,119,0.07,2023-02-02T00:00:00.000Z,https://miro.com/blog/a-message-from-our-ceo/,Series C,2023-02-02T15:49:15.000Z,United States,476,
Getir,New York City,Food,100,,2023-02-02T00:00:00.000Z,https://www.businessinsider.com/getir-layoffs-100-us-gorillas-deal-store-closures-possible-2023-2,Series E,2023-02-05T01:03:59.000Z,United States,1800,
Highspot,Seattle,Sales,100,0.1,2023-02-02T00:00:00.000Z,https://www.geekwire.com/2023/sales-software-company-highspot-lays-off-100-employees/,Series F,2023-02-03T03:19:58.000Z,United States,644,
Bittrex,Seattle,Crypto,80,,2023-02-02T00:00:00.000Z,https://www.coindesk.com/business/2023/02/02/crypto-exchange-bittrex-laying-off-83-people/,Unknown,2023-02-03T03:14:32.000Z,United States,,
Snowplow,"London,Non-U.S.",Data,40,,2023-02-02T00:00:00.000Z,https://www.linkedin.com/posts/alexdean_today-we-announced-that-we-will-be-saying-activity-7027029986091900928-YHHh/,Series B,2023-02-03T15:58:10.000Z,United States,55,
Articulate,New York City,Education,38,,2023-02-02T00:00:00.000Z,https://www.linkedin.com/posts/lucysuros_today-im-imploring-my-network-to-be-on-activity-7026985200467263489-X0T8/,Series A,2023-02-03T03:16:08.000Z,United States,1500,
Desktop Metal,Boston,Other,,,2023-02-02T00:00:00.000Z,https://www.bizjournals.com/boston/news/2023/02/02/desktop-metal-to-cut-workers-again.html,Post-IPO,2023-02-03T03:39:57.000Z,United States,811,
Getaround,SF Bay Area,Transportation,,0.1,2023-02-02T00:00:00.000Z,https://techcrunch.com/2023/02/02/car-sharing-spac-getaround-lays-off-10-of-staff/,Post-IPO,2023-02-03T03:54:14.000Z,United States,948,
NCSoft,"Seoul,Non-U.S.",Consumer,,0.2,2023-02-02T00:00:00.000Z,https://venturebeat.com/games/ncsoft-west-lays-off-20-of-its-staff-and-ceo-departs/,Post-IPO,2023-02-03T03:06:05.000Z,South Korea,240,
Talkdesk,SF Bay Area,Support,,,2023-02-02T00:00:00.000Z,https://www.uctoday.com/unified-communications/tech-redundancies-hit-talkdesk/,Series D,2023-02-06T17:59:25.000Z,United States,497,
Splunk,SF Bay Area,Data,325,0.04,2023-02-01T00:00:00.000Z,https://www.marketwatch.com/story/splunk-to-lay-off-4-of-its-staff-in-latest-sign-of-software-cutbacks-11675260328,Post-IPO,2023-02-01T17:01:15.000Z,United States,2400,https://docs.google.com/spreadsheets/d/1uyTQmiT0CBSJBum-GVc-TDcPyL825RkAnBu9nNIA5wc/edit?resourcekey#gid=1886320755
Pinterest,SF Bay Area,Consumer,150,,2023-02-01T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-02-02/pinterest-cuts-about-150-jobs-joining-flurry-of-tech-layoffs,Post-IPO,2023-02-02T01:29:09.000Z,United States,1500,
DraftKings,Boston,Consumer,140,0.04,2023-02-01T00:00:00.000Z,https://www.cnbc.com/2023/02/01/draftkings-cuts-140-jobs.html,Post-IPO,2023-02-01T19:08:40.000Z,United States,719,
Cyren,Washington D.C.,Security,121,,2023-02-01T00:00:00.000Z,https://ir.cyren.com/websites/cyren/English/5015/press-release.html?airportNewsID=631c3a77-555f-4a78-be5b-ec30c5cdaaac,Post-IPO,2023-02-02T15:52:39.000Z,United States,161,
Workato,SF Bay Area,Other,90,0.1,2023-02-01T00:00:00.000Z,https://www.businessinsider.com/tech-layoffs-workato-clari-unicorn-startups-headcount-reduction-job-cuts-2023-2,Series E,2023-02-07T03:59:33.000Z,United States,415,
VerticalScope,"Toronto,Non-U.S.",Media,60,0.22,2023-02-01T00:00:00.000Z,https://www.theglobeandmail.com/business/article-verticalscope-cuts-22-per-cent-of-staff-in-latest-canadian-tech/,Post-IPO,2023-02-01T23:26:57.000Z,Canada,,
Wheel,Austin,Healthcare,56,0.28,2023-02-01T00:00:00.000Z,https://www.beckershospitalreview.com/telehealth/telehealth-company-wheel-lays-off-28-of-workforce.html,Series C,2023-02-02T00:04:53.000Z,United States,215,
Chainalysis,New York City,Crypto,44,0.05,2023-02-01T00:00:00.000Z,https://www.forbes.com/sites/stevenehrlich/2023/02/01/chainalysis-to-lay-off-48-of-staff-as-crypto-winter-bites-into-private-sector-demand/?sh=471d22826f23,Series F,2023-02-02T03:13:20.000Z,United States,536,
Exterro,Portland,Legal,24,0.03,2023-02-01T00:00:00.000Z,https://www.oregonlive.com/silicon-forest/2023/01/oregon-software-company-exterro-lays-off-two-dozen-employees-after-buying-zapproved.html,Private Equity,2023-02-02T00:05:27.000Z,United States,100,
TheSkimm,New York City,Media,17,0.1,2023-02-01T00:00:00.000Z,https://www.businessinsider.com/theskimm-layoffs-nearly-10-percent-staff-media-industry-cuts-economy-2023-2,Series C,2023-02-03T03:49:46.000Z,United States,28,
Ada,"Toronto,Non-U.S.",Support,,,2023-02-01T00:00:00.000Z,https://betakit.com/ada-latest-canadian-unicorn-to-make-additional-staff-cuts/,Series C,2023-02-03T03:13:00.000Z,Canada,190,
Bustle Digital Group,New York City,Media,,0.08,2023-02-01T00:00:00.000Z,https://variety.com/2023/digital/news/gawker-shutting-down-1235509262/,Series E,2023-02-03T03:48:26.000Z,United States,80,
Frequency Therapeutics,Boston,Healthcare,,0.5,2023-02-01T00:00:00.000Z,https://www.bizjournals.com/boston/news/2023/02/13/frequency-therapeutics-layoffs-2023.html,Post-IPO,2023-02-14T15:19:06.000Z,United States,76,
MariaDB,"Helsinki,Non-U.S.",Data,,0.08,2023-02-01T00:00:00.000Z,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001929589/ec0bacf5-b734-418a-abde-4fe0b21d43d8.pdf,Post-IPO,2023-02-07T18:52:53.000Z,Finland,245,
Match Group,New York City,Consumer,,0.08,2023-02-01T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-02-01/match-will-reduce-global-workforce-by-8-as-sales-miss-estimates?leadSource=uverify%20wall,Post-IPO,2023-02-02T01:29:41.000Z,United States,,
Omnipresent,"London,Non-U.S.",HR,,,2023-02-01T00:00:00.000Z,https://www.linkedin.com/feed/update/urn:li:activity:7026583774519799808/,Series B,2023-02-03T03:11:25.000Z,United States,137,
Rivian,Detroit,Transportation,,0.06,2023-02-01T00:00:00.000Z,https://www.reuters.com/business/autos-transportation/ev-maker-rivian-cut-6-jobs-amid-price-war-internal-memo-2023-02-01/,Post-IPO,2023-02-01T17:04:20.000Z,United States,10700,
PayPal,SF Bay Area,Finance,2000,0.07,2023-01-31T00:00:00.000Z,https://www.cnbc.com/2023/01/31/paypal-to-lay-off-2000-employees-in-coming-weeks-about-7percent-of-workforce.html,Post-IPO,2023-01-31T21:48:43.000Z,United States,216,
NetApp,SF Bay Area,Data,960,0.08,2023-01-31T00:00:00.000Z,https://www.theregister.com/2023/01/31/netapp_layoffs_8_percent/,Post-IPO,2023-01-31T16:33:01.000Z,United States,,
Workday,SF Bay Area,HR,525,0.03,2023-01-31T00:00:00.000Z,https://www.cnbc.com/2023/01/31/workday-lays-off-employees-but-will-grow-head-count.html,Post-IPO,2023-01-31T16:34:32.000Z,United States,230,
HubSpot,Boston,Marketing,500,0.07,2023-01-31T00:00:00.000Z,https://www.marketwatch.com/story/hubspot-to-lay-off-about-500-employees-consolidate-workspace-leases-01675175630,Post-IPO,2023-01-31T16:33:45.000Z,United States,100,https://hire.hubspotalumni.com/jobboard
Upstart,SF Bay Area,Finance,365,0.2,2023-01-31T00:00:00.000Z,https://www.marketwatch.com/story/upstart-to-lay-off-365-employees-20-of-staff-271675176017,Post-IPO,2023-01-31T18:54:52.000Z,United States,144,https://docs.google.com/spreadsheets/d/1O2jqAPa7lhPAlgbzHrrUn9vpbDF2s0uu3E2f3ATlCWQ/edit#gid=1310022080
Software AG,"Frankfurt,Non-U.S.",Data,200,0.04,2023-01-31T00:00:00.000Z,https://investors.softwareag.com/content/dam/investorrelation/pdfs/english/financial-results/2022/q4/20230131_sow_en_press_release_q4_2022.pdf.sagdownload.inline.1675184544569.pdf,Post-IPO,2023-02-04T23:06:27.000Z,Germany,344,
Wish,SF Bay Area,Retail,150,0.17,2023-01-31T00:00:00.000Z,https://ir.wish.com/node/9361/html,Post-IPO,2023-02-01T05:25:15.000Z,United States,1600,
Wefox,"Berlin,Non-U.S.",Finance,100,,2023-01-31T00:00:00.000Z,https://versicherungsmonitor.de/2023/01/31/wefox-streicht-stellen/,Series D,2023-02-01T05:17:25.000Z,Germany,1300,
Tilting Point,New York City,Consumer,60,0.14,2023-01-31T00:00:00.000Z,https://mobilegamer.biz/layoffs-at-tilting-point-as-it-restructures-and-switches-strategy/,Unknown,2023-02-01T17:02:04.000Z,United States,235,
Gokada,"Lagos,Non-U.S.",Transportation,54,,2023-01-31T00:00:00.000Z,https://techcabal.com/2023/02/02/gokada-layoffs-affects-54/,Unknown,2023-02-02T16:34:42.000Z,Nigeria,12,
AU10TIX,"Tel Aviv,Non-U.S.",Security,19,0.09,2023-01-31T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sy6ynzb2o,Unknown,2023-02-07T04:06:49.000Z,Israel,80,
National Instruments,Austin,Hardware,,0.04,2023-01-31T00:00:00.000Z,https://www.cmlviz.com/stocks/NATI/news/b/2023/01/31/national-instruments-corp-expected-to-reduce-ni-s-worldwide-headcount-by-approximately-4-during-2023,Post-IPO,2023-02-04T23:05:08.000Z,United States,,
OpenText,"Waterloo,Non-U.S.",Data,,0.08,2023-01-31T00:00:00.000Z,https://www.crn.com/news/security/layoffs-ahead-as-opentext-closes-5-8b-micro-focus-buy,Post-IPO,2023-02-01T05:19:04.000Z,Canada,1100,
Philips,"Amsterdam,Non-U.S.",Healthcare,6000,0.13,2023-01-30T00:00:00.000Z,https://www.reuters.com/markets/europe/philips-scraps-6000-jobs-drive-improve-profitability-2023-01-30/,Post-IPO,2023-01-30T15:45:59.000Z,Netherlands,,
OLX Group,"Amsterdam,Non-U.S.",Marketing,1500,0.15,2023-01-30T00:00:00.000Z,https://www.financialexpress.com/industry/prosus-operated-olx-to-fire-at-least-1500-employees-globally/2964475/,Acquired,2023-01-30T15:52:15.000Z,Netherlands,,
Arrival,"London,Non-U.S.",Transportation,800,0.5,2023-01-30T00:00:00.000Z,https://techcrunch.com/2023/01/30/ev-company-arrival-to-cut-workforce-by-50-in-third-restructuring-effort/,Post-IPO,2023-01-31T05:21:03.000Z,United Kingdom,629,
Groupon,Chicago,Retail,500,,2023-01-30T00:00:00.000Z,https://www.chicagobusiness.com/technology/groupon-lay-another-500-workers,Post-IPO,2023-01-31T04:39:50.000Z,United States,1400,https://docs.google.com/spreadsheets/d/1ffu4J_b0g2B4YLo7xvls3U2turNuS-QB2Khv5Qcrlrk/edit#gid=779115768
Intel,SF Bay Area,Hardware,343,,2023-01-30T00:00:00.000Z,https://www.sfgate.com/tech/article/intel-plans-layoffs-california-campus-17752669.php,Post-IPO,2023-01-31T04:42:51.000Z,United States,12,
Glovo,"Barcelona,Non-U.S.",Food,250,0.06,2023-01-30T00:00:00.000Z,https://sifted.eu/articles/glovo-lays-offs-news/,Acquired,2023-01-30T15:47:22.000Z,Spain,1200,
Delivery Hero,"Berlin,Non-U.S.",Food,156,0.04,2023-01-30T00:00:00.000Z,https://newsingermany.com/delivery-hero-lays-off-four-percent-of-employees-at-headquarters/,Post-IPO,2023-01-31T01:27:08.000Z,Germany,9900,https://docs.google.com/spreadsheets/d/1MQMMYWR1e41pw1fc4qOPgfvCCe0zkCRTysIW9rHlioI/edit#gid=1649408084
Impossible Foods copy,SF Bay Area,Food,140,0.2,2023-01-30T00:00:00.000Z,https://www.bloomberg.com/news/articles/2023-01-30/impossible-foods-plans-to-lay-off-about-20-of-employees,Series H,2023-01-31T01:32:26.000Z,United States,1900,
